Cocktail Name,Ingredients
Manhattan,"rye whiskey, sweet vermouth, Angostura bitters"
Negroni,"gin, Campari, sweet vermouth"
Dry Martini,"gin, dry vermouth, orangebitters"
Daiquiri,"light rum, lime juice, freshly squeezed, demerara sugar syrup"
Old Fashioned,"sugar, Angostura bitters, bourbon (or rye whiskey, if preferred)"
Whiskey Sour,"bourbon, lemon juice, freshly squeezed, simple syrup, egg white (optional)"
Tom Collins,"London dry gin, lemon juice, freshly squeezed, simple syrup, Club soda, to top"
Sazerac,"Absinthe, to rinse, 1sugar cube, Peychaud’s bitters, rye whiskey"
Paloma,"tequila, lime juice, freshly squeezed, Grapefruit soda, chilled, to top, Pinch of salt"
Moscow Mule,"vodka, lime juice, freshly squeezed, ginger beer, chilled"
Sidecar,"cognac, orange liqueur(such as Cointreau), lemon juice, freshly squeezed"
Martinez,"gin, sweet vermouth, Luxardo maraschino liqueur, Angosturabitters"
Pimm’s Cup,"Pimm’s No. 1, lemon juice, freshly squeezed, Ginger ale, to top"
Pisco Sour,"pisco, lime juice, freshly squeezed, simple syrup, egg white"
French 75,"gin, lemon juice, freshly squeezed, simple syrup, Champagne (or othersparkling wine)"
Mint Julep,"mint leaves, simple syrup, bourbon"
Last Word,"gin, green Chartreuse, maraschino liqueur, lime juice, freshly squeezed"
Irish Coffee,"Irish whiskey, brown sugar, Hotbrewed coffee, to top"
Corpse Reviver No. 2,"Absinthe, to rinse, London dry gin, Lillet blanc, orange liqueur, lemon juice, freshly squeezed"
Mojito,"mint leaves, simple syrup, whiterum, lime juice, freshly squeezed, Club soda, to top"
Gin Fizz,"gin, lemon juice, freshly squeezed, egg white, simple syrup"
Bloody Mary,"Celery salt, lemon wedge, 1lime wedge, vodka, tomato juice, sprepared horseradish, Tabasco sauce, Worcestershire sauce, ground black pepper, smoked paprika"
Vodka Gimlet,"vodka, lime juice, freshly squeezed, simple syrup"
Margarita,"blanco tequila, orange liqueur, lime juice, freshly squeezed, agave syrup"
White Russian,"vodka, coffee liqueur, heavy cream"
Pina Colada,"rum, cream of coconut, pineapple juice, frozen pineapple, lime juice"
Mai Tai,"aged rum, dark rum, orange liqueur, lime juice, simple syrup"
Gin Tonic,"gin, tonic"
Aperol Spritz,"sparkling wine, aperol, soda water"
Long Island Iced Tea,"vodka, rum, gin, tequila, triple sec, lemon juice, cola"
White Lady,"gin, orange liqueur, lemon juice, egg white"
Cosmopolitan,"vodka, Cointreau, lemon juice, cranberry juice"
Zombie,"rum, lemon juice, falernum, grenadine, simple syrup, pineapple juice"
Vodka Martini,"vodka, dry vermouth, orange bitters"
Aviation,"gin, maraschino liqueur, lemon juice, creme de violette"
Americano,"Campari, sweet vermouth, club soda"
Boulevardier,"bourbon, sweet vermouth, Campari"
Penicillin,"blended scotch whiskey, lemon juice, honey-ginger syrup, Islay single malt scotch whiskey"
Dark 'n' Stormy,"dark rum, ginger beer"
God Father,"bourbon, amaretto"
