Cocktail Name,Ingredients
Monkey Gland,"50ml London Dry Gin,15ml Absinthe,15ml Grenadine,60ml Orange Juice"
Mitch Martini,"50ml Bison Grass Vodka,10ml Peach Liqueur,10ml Passionfruit Syrup,50ml Apple Juice"
Painkiller,"50ml Pusser’s Navy Strength Rum,75ml Pineapple Juice,30ml Orange Juice,30ml Coconut Cream"
Brandy Alexander,"30ml Brandy,25ml Dark Crème De Cacao,50ml Half/Half (1:1 cream/milk)"
Japanese Slipper,"30ml Midori,30ml Triple Sec,25ml Lemon Juice"
Greyhound,"50ml Vodka/Gin,75ml Pink Grapefruit Juice"
Hedgerow Sling,"25ml Gin,25ml Sloe Gin,25ml Lemon Juice,10ml Gomme,15ml Crème De Mure (laced),Dash Soda"
Caiparissima,"50ml Rum,6 Wedges Lime,15ml Demerara Sugar Syrup"
Lynchburg Lemonade,"35ml Jack Daniel’s,25ml Triple Sec,25ml Lemon Juice,50ml Lemonade"
The Gold Record,"25ml Plantation Pineapple Rum,25ml Apricot Brandy,15ml Vanilla Syrup,25ml Passionfruit Juice,20ml Lemon Juice,Soda Top"
Tequila Sunrise,"50ml Tequila,75ml Orange Juice,15ml Grenadine"
John Collins,"50ml London Dry Gin,25ml Lemon Juice,15ml Gomme,Top Soda"
Dubonnet,"40ml Gin,20ml Dubonnet"
Sex On The Beach,"35ml Vodka,15ml Peach Schnapps,50ml Cranberry Juice,50ml Orange Juice"
Lemon Drop,"35ml Vodka,15ml Triple Sec,25ml Lemon Juice,15ml Gomme"
Bijou,"35ml Gin,20ml Chartreuse,25ml Sweet Vermouth,2 Dashes Orange Bitters"
Whiskey Mac,"40ml Islay Single Malt,20ml Ginger Wine"
Martinez,"50ml Genever,25ml Sweet Vermouth,15ml Dry Vermouth,10ml Orange Curacao,Dash Angostura Bitters"
Calvados Old Fashioned,"50ml Calvados,10ml Honey & Cinnamon Syrup,2 Dash Bitters"
Blood & Sand,"20ml Scotch,20ml Sweet Vermouth,20ml Cherry Heering Liqueur,20ml Orange Juice"
Red Snapper,"50ml Vodka,100ml Tomato Juice,7.5ml Lemon Juice,3 Dashes Tabasco Sauce,8 Dashes Worcestershire Sauce,Pinch Celery Salt,Pinch Black Pepper"
Boulevardier,"25ml Bourbon Whiskey,25ml Campari,25ml Sweet Vermouth,garnish: Flamed Orange"
Bees Knees,"50ml Gin,20ml Lemon Juice,15ml Honey Syrup"
Rusty Nail,"40ml Scotch,20ml Drambuie"
Gin Rickey,"50ml Gin,3 Lime Wedges Squeezed,Top Soda"
Rum Old Fashioned,"40ml Aged Rum,15ml Velvet Falernum,3 Dash Bitters,5ml Demerara Sugar"
Caiprioska,"50ml Vodka,5 Lime Wedges,15ml Gomme"
Jungle Bird,"35ml Dark Rum,15ml Campari,50ml Pineapple Juice,15ml Lime Juice,10ml Gomme"
Brooklyn,"50ml Rye Whiskey,10ml Dry Vermouth,10ml Amer Picon,10ml Maraschino"
Sangria,"1 Bottle Of Dry Rose Or Red Wine,75ml Triple Sec,50ml Brandy,25ml Gomme,50ml Fresh Orange Juice (the fresher the better)"
Navy Grog,"20ml White Rum,20ml Dark Rum,20ml Demerara Rum,20ml Lime Juice,20ml Grapefruit Juice,15ml Honey Syrup,Top Soda"
Hot Buttered Rum,"1 Tablespoon Butter,10ml Vanilla Sugar Syrup,Pinch on Cinnamon, Nutmeg & Allspice,35ml Aged Rum,Top Hot Water"
Bronx,"50ml Gin,10ml Sweet Vermouth,10ml Dry Vermouth,30ml Fresh Orange Juice"
Irish Coffee,"50ml Irish Whiskey (sub out for variations),15ml Demerara Sugar Syrup,Top to 1cm under the rim with fresh coffee,Layer 1cm Whipped Cream"
