"Cocktail Name","Ingredients","Taste","Ingredient_Break_Down","Weight","combined","counter","vector"
"Manhattan","rye whiskey, sweet vermouth, angostura bitters","['spicy', 'smoky', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter']","['whiskey']","heavy","['whiskey', 'spicy', 'smoky', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter']","Counter({'spicy': 2, 'bitter': 2, 'whiskey': 1, 'smoky': 1, 'sweet': 1, 'herbal': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3]"
"Negroni","gin, campari, sweet vermouth","['floral', 'herbal', 'spicy', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'citrusy']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'citrusy']","Counter({'herbal': 2, 'spicy': 2, 'bitter': 2, 'gin': 1, 'floral': 1, 'sweet': 1, 'citrusy': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 2, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 3]"
"Dry Martini","gin, dry vermouth, orangebitters","['floral', 'herbal', 'spicy', 'floral', 'herbal', 'bitter']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy', 'floral', 'herbal', 'bitter']","Counter({'floral': 2, 'herbal': 2, 'gin': 1, 'spicy': 1, 'bitter': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 3]"
"Daiquiri","light rum, lime juice, freshly squeezed, demerara sugar syrup","['sweet', 'fruity', 'sweet', 'citrusy', 'sour']","['rum']","light","['rum', 'sweet', 'fruity', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 2, 'rum': 1, 'fruity': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"Old Fashioned","sugar, angostura bitters, bourbon (or rye whiskey, if preferred)","['spicy', 'smoky', 'sweet', 'bitter']","['whiskey']","light","['whiskey', 'spicy', 'smoky', 'sweet', 'bitter']","Counter({'whiskey': 1, 'spicy': 1, 'smoky': 1, 'sweet': 1, 'bitter': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Whiskey Sour","bourbon, lemon juice, freshly squeezed, simple syrup, egg white (optional)","['spicy', 'smoky', 'creamy', 'sweet', 'citrusy', 'sour']","['whiskey', 'egg white']","light","['whiskey', 'egg white', 'spicy', 'smoky', 'creamy', 'sweet', 'citrusy', 'sour']","Counter({'whiskey': 1, 'egg white': 1, 'spicy': 1, 'smoky': 1, 'creamy': 1, 'sweet': 1, 'citrusy': 1, 'sour': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]"
"Tom Collins","london dry gin, lemon juice, freshly squeezed, simple syrup, club soda, to top","['floral', 'herbal', 'spicy', 'carbonated', 'sweet', 'citrusy', 'sour']","['gin']","light","['gin', 'floral', 'herbal', 'spicy', 'carbonated', 'sweet', 'citrusy', 'sour']","Counter({'gin': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'carbonated': 1, 'sweet': 1, 'citrusy': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
"Sazerac","absinthe, to rinse, 1sugar cube, peychaud’s bitters, rye whiskey","['spicy', 'smoky', 'sweet', 'bitter']","['whiskey', 'absinthe']","light","['whiskey', 'absinthe', 'spicy', 'smoky', 'sweet', 'bitter']","Counter({'whiskey': 1, 'absinthe': 1, 'spicy': 1, 'smoky': 1, 'sweet': 1, 'bitter': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Paloma","tequila, lime juice, freshly squeezed, grapefruit soda, chilled, to top, pinch of salt","['carbonated', 'citrusy', 'sour']","['tequila']","light","['tequila', 'carbonated', 'citrusy', 'sour']","Counter({'tequila': 1, 'carbonated': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0]"
"Moscow Mule","vodka, lime juice, freshly squeezed, ginger beer, chilled","['floral', 'herbal', 'spicy', 'spicy', 'carbonated', 'citrusy', 'sour']","['gin', 'vodka']","light","['gin', 'vodka', 'floral', 'herbal', 'spicy', 'spicy', 'carbonated', 'citrusy', 'sour']","Counter({'spicy': 2, 'gin': 1, 'vodka': 1, 'floral': 1, 'herbal': 1, 'carbonated': 1, 'citrusy': 1, 'sour': 1})","[0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0]"
"Sidecar","cognac, orange liqueur(such as cointreau), lemon juice, freshly squeezed","['fruity', 'sweet', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","['brandy', 'wine']","heavy","['brandy', 'wine', 'fruity', 'sweet', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 2, 'citrusy': 2, 'brandy': 1, 'wine': 1, 'fruity': 1, 'spicy': 1, 'sour': 1})","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 1, 0, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3]"
"Martinez","gin, sweet vermouth, luxardo maraschino liqueur, angosturabitters","['floral', 'herbal', 'spicy', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'fruity', 'sour', 'bitter']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy', 'sweet', 'spicy', 'herbal', 'bitter', 'bitter', 'fruity', 'sour', 'bitter']","Counter({'bitter': 3, 'herbal': 2, 'spicy': 2, 'gin': 1, 'floral': 1, 'sweet': 1, 'fruity': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 2, 0, 0, 1, 2, 0, 1, 0, 0, 0, 0, 3]"
"Pimm’s Cup","pimm’s no. 1, lemon juice, freshly squeezed, ginger ale, to top","['floral', 'herbal', 'spicy', 'citrusy', 'sour']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy', 'citrusy', 'sour']","Counter({'gin': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'citrusy': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 3]"
"Pisco Sour","pisco, lime juice, freshly squeezed, simple syrup, egg white","['fruity', 'sweet', 'spicy', 'creamy', 'sweet', 'citrusy', 'sour']","['brandy', 'wine', 'egg white']","light","['brandy', 'wine', 'egg white', 'fruity', 'sweet', 'spicy', 'creamy', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 2, 'brandy': 1, 'wine': 1, 'egg white': 1, 'fruity': 1, 'spicy': 1, 'creamy': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
"French 75","gin, lemon juice, freshly squeezed, simple syrup, champagne (or othersparkling wine)","['floral', 'herbal', 'spicy', 'sweet', 'citrusy', 'sour']","['gin', 'champagne', 'wine']","light","['gin', 'champagne', 'wine', 'floral', 'herbal', 'spicy', 'sweet', 'citrusy', 'sour']","Counter({'gin': 1, 'champagne': 1, 'wine': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'sweet': 1, 'citrusy': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"Mint Julep","mint leaves, simple syrup, bourbon","['spicy', 'smoky', 'herbal', 'sweet']","['whiskey']","heavy","['whiskey', 'spicy', 'smoky', 'herbal', 'sweet']","Counter({'whiskey': 1, 'spicy': 1, 'smoky': 1, 'herbal': 1, 'sweet': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 3]"
"Last Word","gin, green chartreuse, maraschino liqueur, lime juice, freshly squeezed","['floral', 'herbal', 'spicy', 'floral', 'herbal', 'spicy', 'bitter', 'fruity', 'sour', 'citrusy', 'sour']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy', 'floral', 'herbal', 'spicy', 'bitter', 'fruity', 'sour', 'citrusy', 'sour']","Counter({'floral': 2, 'herbal': 2, 'spicy': 2, 'sour': 2, 'gin': 1, 'bitter': 1, 'fruity': 1, 'citrusy': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 1, 2, 2, 0, 1, 0, 0, 0, 0, 3]"
"Irish Coffee","irish whiskey, brown sugar, hotbrewed coffee, to top","['spicy', 'smoky', 'sweet']","['whiskey', 'coffee']","light","['whiskey', 'coffee', 'spicy', 'smoky', 'sweet']","Counter({'whiskey': 1, 'coffee': 1, 'spicy': 1, 'smoky': 1, 'sweet': 1})","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]"
"Corpse Reviver No. 2","absinthe, to rinse, london dry gin, lillet blanc, orange liqueur, lemon juice, freshly squeezed","['floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","['gin', 'absinthe']","heavy","['gin', 'absinthe', 'floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","Counter({'citrusy': 2, 'gin': 1, 'absinthe': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'sweet': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 3]"
"Mojito","mint leaves, simple syrup, whiterum, lime juice, freshly squeezed, club soda, to top","['sweet', 'fruity', 'herbal', 'carbonated', 'sweet', 'citrusy', 'sour']","['rum']","light","['rum', 'sweet', 'fruity', 'herbal', 'carbonated', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 2, 'rum': 1, 'fruity': 1, 'herbal': 1, 'carbonated': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0]"
"Gin Fizz","gin, lemon juice, freshly squeezed, egg white, simple syrup","['floral', 'herbal', 'spicy', 'creamy', 'sweet', 'citrusy', 'sour']","['gin', 'egg white']","light","['gin', 'egg white', 'floral', 'herbal', 'spicy', 'creamy', 'sweet', 'citrusy', 'sour']","Counter({'gin': 1, 'egg white': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'creamy': 1, 'sweet': 1, 'citrusy': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
"Bloody Mary","celery salt, lemon wedge, 1lime wedge, vodka, tomato juice, sprepared horseradish, tabasco sauce, worcestershire sauce, ground black pepper, smoked paprika","['citrusy', 'sour']","['vodka']","heavy","['vodka', 'citrusy', 'sour']","Counter({'vodka': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3]"
"Vodka Gimlet","vodka, lime juice, freshly squeezed, simple syrup","['sweet', 'citrusy', 'sour']","['vodka']","light","['vodka', 'sweet', 'citrusy', 'sour']","Counter({'vodka': 1, 'sweet': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"Margarita","blanco tequila, orange liqueur, lime juice, freshly squeezed, agave syrup","['citrusy', 'sweet', 'sweet', 'citrusy', 'sour']","['tequila']","light","['tequila', 'citrusy', 'sweet', 'sweet', 'citrusy', 'sour']","Counter({'citrusy': 2, 'sweet': 2, 'tequila': 1, 'sour': 1})","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"White Russian","vodka, coffee liqueur, heavy cream","['creamy']","['vodka', 'coffee']","light","['vodka', 'coffee', 'creamy']","Counter({'vodka': 1, 'coffee': 1, 'creamy': 1})","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
"Pina Colada","rum, cream of coconut, pineapple juice, frozen pineapple, lime juice","['sweet', 'fruity', 'creamy', 'citrusy', 'sour']","['rum']","light","['rum', 'sweet', 'fruity', 'creamy', 'citrusy', 'sour']","Counter({'rum': 1, 'sweet': 1, 'fruity': 1, 'creamy': 1, 'citrusy': 1, 'sour': 1})","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
"Mai Tai","aged rum, dark rum, orange liqueur, lime juice, simple syrup","['sweet', 'fruity', 'citrusy', 'sweet', 'sweet', 'citrusy', 'sour']","['rum']","light","['rum', 'sweet', 'fruity', 'citrusy', 'sweet', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 3, 'citrusy': 2, 'rum': 1, 'fruity': 1, 'sour': 1})","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
"Gin Tonic","gin, tonic","['floral', 'herbal', 'spicy']","['gin']","heavy","['gin', 'floral', 'herbal', 'spicy']","Counter({'gin': 1, 'floral': 1, 'herbal': 1, 'spicy': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 3]"
"Aperol Spritz","sparkling wine, aperol, soda water","['carbonated']","['wine']","heavy","['wine', 'carbonated']","Counter({'wine': 1, 'carbonated': 1})","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3]"
"Long Island Iced Tea","vodka, rum, gin, tequila, triple sec, lemon juice, cola","['sweet', 'fruity', 'floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","['rum', 'gin', 'vodka', 'tequila']","heavy","['rum', 'gin', 'vodka', 'tequila', 'sweet', 'fruity', 'floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'citrusy', 'sour']","Counter({'sweet': 2, 'citrusy': 2, 'rum': 1, 'gin': 1, 'vodka': 1, 'tequila': 1, 'fruity': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'sour': 1})","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 0, 2, 1, 1, 0, 1, 0, 0, 0, 0, 3]"
"White Lady","gin, orange liqueur, lemon juice, egg white","['floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'creamy', 'citrusy', 'sour']","['gin', 'egg white']","light","['gin', 'egg white', 'floral', 'herbal', 'spicy', 'citrusy', 'sweet', 'creamy', 'citrusy', 'sour']","Counter({'citrusy': 2, 'gin': 1, 'egg white': 1, 'floral': 1, 'herbal': 1, 'spicy': 1, 'sweet': 1, 'creamy': 1, 'sour': 1})","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 2, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
"Cosmopolitan","vodka, cointreau, lemon juice, cranberry juice","['citrusy', 'sweet', 'fruity', 'sweet', 'citrusy', 'sour']","['vodka']","heavy","['vodka', 'citrusy', 'sweet', 'fruity', 'sweet', 'citrusy', 'sour']","Counter({'citrusy': 2, 'sweet': 2, 'vodka': 1, 'fruity': 1, 'sour': 1})","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 0, 0, 0, 1, 0, 0, 0, 0, 3]"
